鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,34.94,都市：其他:住宅區,,,1080507,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,199.6,4,2,3,有,有,16680000,84864,坡道平面,24.85,1850000,該契約於109年12月7日轉售，交易總價1720萬元。預售屋、或土地及建物分次登記案件;,RPVOMLLKJHGGFAH67DA,107.93,0.0,15.32,有,
桃園區,房地(土地+建物),大有路511~540號,11.23,都市：其他:住宅區,,,1091226,土地1建物1車位0,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840419,105.67999999999999,3,2,2,有,有,5800000,54883,,0.0,0,,RPRNNLRJJHGGFAH77DA,77.39,0.0,9.63,有,077
桃園區,房地(土地+建物),寶山街378巷1~30號,48.54,都市：其他:住宅區,,,1091228,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790416,153.16,4,2,2,有,無,5380000,35127,,0.0,0,其他增建;,RPORMLSLKIPFFAH09DA,141.35,0.0,0.0,無,078
桃園區,房地(土地+建物),大有路541~570號,12.99,都市：其他:住宅區,,,1091225,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821224,117.17,3,2,2,有,有,6800000,58035,,0.0,0,,RPVSMLOJJHGGFAH28DA,82.57,0.66,9.31,有,079
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080220,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,127.46000000000001,3,2,2,有,有,9880000,79159,坡道平面,22.86,1600000,該契約於109年7月1日轉售，交易總價1020萬元。預售屋、或土地及建物分次登記案件;,RPWOMLOLKIPFFAH56DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,28.71,都市：其他:住宅區,,,1080310,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,168.01,3,2,2,有,有,13990000,84451,坡道平面,24.85,1900000,預售屋、或土地及建物分次登記案件;,RPOONLLLKIPFFAH18DA,89.57,0.0,11.4,有,
桃園區,房地(土地+建物)+車位,藝文一街61~90號,22.13,都市：其他:商業區,,,1091020,土地1建物1車位2,九層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1090106,284.85,0,0,0,無,有,30080000,111434,坡道平面,54.4,4400000,,RPORMLRKJIPFFAH78DA,128.75,0.0,23.61,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080312,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10180000,82027,坡道平面,24.85,1600000,預售屋、或土地及建物分次登記案件;,RPXUMLSKKIPFFAH57DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080628,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,127.46000000000001,3,2,1,有,有,10180000,80593,坡道平面,22.86,1750000,預售屋、或土地及建物分次登記案件;,RPPVMLSKKIPFFAH86DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080422,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,127.46000000000001,3,2,2,有,有,10380000,82505,坡道平面,22.86,1750000,預售屋、或土地及建物分次登記案件;,RPQVMLSKKIPFFAH96DA,66.95,0.0,6.84,有,
