鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物),工學北路71巷1~30號,9.41,都市：其他:第三種住宅區。,,,1090102,土地1建物1車位0,七層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860918,111.28999999999999,3,2,2,有,有,5800000,52116,,0.0,0,,RPPNMLRKKHGGFAB07DA,75.49,3.97,0.0,,066
西區,房地(土地+建物),公益路174巷31~60號,41.38,都市：其他:第二種住宅區,,,1100115,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660915,99.34,3,2,2,有,無,5700000,57379,,0.0,0,,RPRNMLRKKHGGFAB27DA,92.52,0.0,0.0,,
東區,房地(土地+建物)+車位,十甲東路691~720號,148.33,都市：其他:第一之一種住宅區,,,1091124,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0851213,227.35,9,2,6,有,無,6500000,28590,一樓平面,0.0,0,,RPSNMLRKKHGGFAB37DA,191.54,35.81,0.0,,
中區,房地(土地+建物)+車位,三民路二段121~150號,11.57,都市：其他:第二種商業區,,,1091221,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790614,124.09,2,2,2,有,有,6250000,50363,升降機械,0.0,0,,RPOOMLRKKHGGFAB07DA,95.82,3.77,0.0,,067
東區,房地(土地+建物)+車位,進德路31~60號,15.85,都市：其他:第二種住宅區,,,1091228,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870421,92.53,2,2,2,有,有,5300000,57279,升降機械,7.26,0,,RPVOMLRKKHGGFAB77DA,60.09,2.91,0.0,,
北屯區,房地(土地+建物)+車位,南興路1021~1050號,20.4,都市：其他:第二之一種住宅區,,,1071014,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091110,175.37,3,2,2,有,有,10970000,70029,坡道平面,36.57,1250000,本案於108.06.17轉讓，轉讓金額為＄1105萬元整。預售屋、或土地及建物分次登記案件;,RPSNNLNJJHGGFBB96DA,82.04,8.72,4.64,有,
北屯區,房地(土地+建物)+車位,南興路1051~1080號,18.05,都市：其他:第二之一種住宅區,,,1071026,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091110,149.39,0,0,0,無,有,13090000,103794,坡道平面,36.57,1380000,1.本戶於108.07.24轉讓轉讓金額為金額不變預售屋、或土地及建物分次登記案件;,RPXSOLNJJHGGFBB08DA,85.64,0.0,4.86,有,
北屯區,房地(土地+建物)+車位,南興路1021~1050號,20.4,都市：其他:第二之一種住宅區,,,1071015,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091110,173.53,3,2,2,有,有,10820000,72065,坡道平面,36.57,950000,預售屋、或土地及建物分次登記案件;,RPXUMLRLKIPFFBB07DA,82.04,6.88,4.64,有,
北屯區,房地(土地+建物),熱河路二段151~180號,21.88,都市：其他:第三種住宅區。,,,1091125,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720420,96.17,3,3,3,有,無,4800000,49912,,0.0,0,,RPQPMLSLKIPFFBB58DA,85.33,0.0,5.89,無,
北屯區,房地(土地+建物)+車位,松竹路二段346巷1~30號,25.2,都市：其他:第二種住宅區,,,1091228,土地1建物1車位2,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011109,172.08,3,2,2,有,有,11550000,75711,坡道機械,40.66,1600000,其他增建;,RPWRMLSLKIPFFBB76DA,76.6,3.02,10.54,有,068
北屯區,房地(土地+建物)+車位,軍福十三路121~150號,15.94,都市：其他:第三種住宅區。,,,1091218,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,100.63,3,2,2,有,有,6600000,65587,坡道機械,0.0,0,,RPPPMLTLKIPFFBB58DA,49.18,4.42,4.38,有,
北屯區,房地(土地+建物)+車位,太祥路211~240號,13.01,都市：其他:第三種住宅區。,,,1091220,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,71.95,1,0,1,有,有,8180000,113690,坡道平面,18.56,0,,RPWNMLTKJHGGFBB97DA,38.36,0.0,0.0,有,069
北屯區,房地(土地+建物)+車位,松竹路二段346巷1~30號,24.95,都市：其他:第二種住宅區,,,1100118,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031022,149.98,3,2,2,有,有,12690000,92338,坡道平面,23.38,1000000,其他增建;,RPRRMLSKJHGGFBB77DA,75.35,2.01,10.46,有,
北屯區,房地(土地+建物)+車位,后庄路31~60號,35.89,都市：其他:第二種住宅區,,,1100105,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050502,213.36,3,2,2,有,有,17400000,81552,坡道平面,56.02,0,,RPQUMLLLJHGGFBB37DA,94.09,4.26,8.53,有,
北屯區,房地(土地+建物)+車位,安順東一街1~30號,42.85,都市：其他:第二種住宅區,,,1091231,土地1建物1車位1,一層，騎樓,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1030312,235.27,3,2,2,有,有,21800000,92659,坡道平面,32.59,0,夾層;,RPWPMLMLJHGGFBB57DA,153.37,0.0,0.0,有,
北屯區,房地(土地+建物)+車位,太和一街121~150號,23.51,都市：其他:第三種住宅區。,,,1091129,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041103,162.84,3,1,2,有,有,9300000,57111,坡道平面,42.99,0,,RPVPMLTKJHGGFBB08DA,71.54,0.0,7.72,有,
北屯區,房地(土地+建物),松竹五路一段301~330號,79.15,都市：其他:住宅區,,,1091013,土地3建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0921204,178.12,5,3,3,有,有,18230000,102347,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPOWMLQLJHGGFBB87DA,162.28,0.0,15.84,無,
北屯區,房地(土地+建物)+車位,軍福十六路271~300號,16.97,都市：其他:第二種商業區,,,1091127,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050804,179.64,3,2,2,有,有,10700000,59564,坡道平面,31.1,0,,RPQUMLMJKHGGFBB37DA,88.65,1.28,11.68,有,070
北屯區,房地(土地+建物)+車位,太原路三段1351~1380號,21.21,都市：其他:第三種住宅區。,,,1100102,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,147.36,3,2,2,有,有,8500000,57682,坡道平面,25.8,0,,RPXSMLNJKHGGFBB97DA,76.14,0.0,7.44,有,
北屯區,房地(土地+建物),青島路三段181~210號,101.0,都市：其他:第二種商業區,,,1100110,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0770209,273.83,4,2,4,有,無,21960000,80196,,0.0,0,其他增建;,RPTQMLOJKHGGFBB47DA,250.77,3.99,19.07,無,
北區,房地(土地+建物)+車位,陝西三街31~60號,11.49,都市：其他:第二種住宅區,,,1091227,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791229,67.77,3,2,2,有,有,2400000,35409,升降機械,0.0,0,二親等間買賣，主張贈與稅免稅額220萬,RPQRMLOJKHGGFBB27DA,40.39,2.04,4.68,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.4,都市：其他:第一之一種住宅區,,,1090210,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,155.12,3,2,2,有,有,10380000,71941,坡道平面,29.6,1350000,,RPTSMLSJKHGGFBB08DA,77.64,0.0,6.08,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.4,都市：其他:第一之一種住宅區,,,1080926,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,155.12,3,2,2,有,有,11100000,77279,坡道平面,29.6,1400000,,RPUSMLSJKHGGFBB18DA,77.64,0.0,6.08,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.09,都市：其他:第一之一種住宅區,,,1090718,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,153.64,3,2,2,有,有,10740000,75298,坡道平面,29.6,1400000,,RPWSMLSJKHGGFBB38DA,75.97,0.0,6.85,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.09,都市：其他:第一之一種住宅區,,,1090610,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,153.64,3,2,2,有,有,10810000,75863,坡道平面,29.6,1400000,,RPXSMLSJKHGGFBB48DA,75.96,0.0,6.84,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.09,都市：其他:第一之一種住宅區,,,1080423,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,153.64,3,2,2,有,有,10500000,73767,坡道平面,29.6,1350000,,RPOTMLSJKHGGFBB67DA,75.97,0.0,6.85,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,39.08,都市：其他:第一之一種住宅區,,,1080427,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,172.76,3,2,2,有,有,12480000,77751,坡道平面,29.6,1350000,,RPRTMLSJKHGGFBB97DA,89.45,0.0,6.08,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.09,都市：其他:第一之一種住宅區,,,1081229,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,153.64,3,2,2,有,有,10640000,74895,坡道平面,29.6,1350000,,RPSTMLSJKHGGFBB08DA,75.97,0.0,6.85,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.4,都市：其他:第一之一種住宅區,,,1090719,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,155.12,3,2,2,有,有,10750000,74490,坡道平面,29.6,1400000,,RPVTMLSJKHGGFBB38DA,77.64,0.0,6.08,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.09,都市：其他:第一之一種住宅區,,,1081026,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,153.91,3,2,2,有,有,10720000,74572,坡道平面,29.6,1450000,,RPXTMLSJKHGGFBB58DA,76.1,0.0,6.85,有,
北屯區,房地(土地+建物)+車位,南興二路271~300號,34.09,都市：其他:第一之一種住宅區,,,1080729,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091211,153.64,3,2,2,有,有,10450000,72557,坡道平面,29.6,1450000,,RPOUMLSJKHGGFBB77DA,75.96,0.0,6.84,有,
