鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三民區,房地(土地+建物)+車位,大順二路661~690號,8.94,都市：其他:第五種商業區,,,1071024,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1091019,142.89,3,2,2,有,有,9820000,67490,坡道機械,9.24,800000,,RPQPMLLJKIPFFDE18DA,71.5,14.07,0.0,有,
小港區,房地(土地+建物),民治路31~60號,21.59,都市：其他:第三種住宅區。,,,1100111,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811103,127.13,3,2,2,有,有,4620000,36341,,0.0,0,,RPTNMLMJKHGGFCE37DA,84.61,12.71,0.0,有,
前鎮區,房地(土地+建物),和平二路241~270號,15.12,都市：其他:第四種住宅區,,,1100101,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),,鋼筋混凝土造,0660202,52.47,0,0,0,無,有,2200000,41929,,0.0,0,,RPVNMLTJKHGGFCE28DA,52.47,0.0,0.0,有,
前鎮區,房地(土地+建物)+車位,瑞泰街140巷1~30號,19.18,都市：其他:第三種商業區,,,1091111,土地1建物1車位1,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880903,205.15,4,2,2,有,有,11200000,54594,坡道平面,36.13,0,,RPWNMLTJKHGGFCE38DA,113.82,12.79,0.0,有,
前鎮區,房地(土地+建物)+車位,修成街31~60號,53.56,都市：其他:第四種住宅區,,,1091219,土地1建物1車位2,八層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼骨鋼筋混凝土造,1051121,468.91999999999996,5,2,4,有,有,39800000,84876,坡道平面,33.58,0,含裝潢費;,RPPNMLRKKHGGFCE57DA,235.83,43.43,0.0,有,
前鎮區,房地(土地+建物)+車位,民權二路511~540號,19.13,都市：其他:第五種住宅區,,,1091229,土地1建物1車位2,十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970307,400.28,3,3,2,有,有,31000000,77446,坡道平面,29.54,0,,RPQNMLRKKHGGFCE67DA,226.34,36.05,0.0,有,
前鎮區,房地(土地+建物)+車位,光華二路1~30號,20.69,都市：其他:第三種特定商業專用區,,,1100119,土地2建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060608,212.45999999999998,4,2,2,有,有,17510000,78901,坡道平面,15.25,1950000,,RPSNMLRKKHGGFCE87DA,101.42,27.9,0.0,有,
前鎮區,房地(土地+建物),明鳳十一街21巷31~60號,85.92,都市：其他:紅毛港遷村住宅區,,,1100111,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960731,171.0,4,2,3,有,無,10000000,58480,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLRKKHGGFCE18DA,162.74,8.26,0.0,無,
新興區,房地(土地+建物),林森一路151~180號,105.0,都市：其他:第二種特定商業專用區,,,1091023,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0351001,197.2,3,2,3,有,無,32000000,162272,,0.0,0,其他增建;,RPXNMLRKKHGGFBE28DA,197.2,0.0,0.0,無,
苓雅區,房地(土地+建物),仁智街106巷1~30號,24.62,都市：其他:第二種特定商業專用區,,,1100110,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0761110,131.66,3,2,2,有,有,5970000,45344,,0.0,0,,RPQPMLRKKHGGFBE77DA,0.0,0.0,0.0,有,
小港區,土地,中厝段331~360地號,375.0,都市：其他:第二種住宅區,,,1091202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31100000,82933,,0.0,0,,RPPNMLOLKIPFFCE28DA,0.0,0.0,0.0,無,
前鎮區,房地(土地+建物),瑞隆路571~600號,63.0,都市：其他:第三種商業區,,,1091229,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570510,102.24,3,1,4,有,無,22500000,220070,,0.0,0,頂樓加蓋;其他增建;含租約;,RPUOMLTLKIPFFCE76DA,102.24,0.0,0.0,無,169
前鎮區,房地(土地+建物),育德路10巷1~30號,37.53,都市：其他:第二種住宅區,,,1100125,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791019,107.59,3,2,2,有,無,8300000,77145,,0.0,0,其他增建;,RPRPMLPLJHGGFCE77DA,84.34,9.78,0.0,無,
