鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
淡水區,房地(土地+建物),沙崙路一段1~30號,16.17,都市：其他:第三種住宅區。,,,1091221,土地1建物1車位0,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,85.82,2,1,1,有,有,6380000,74342,,0.0,0,預售屋、或土地及建物分次登記案件;,RPSRMLPLJHGGFEF38DA,49.91,4.83,5.36,有,
淡水區,房地(土地+建物),沙崙路一段1~30號,24.3,都市：其他:第三種住宅區。,,,1091220,土地1建物1車位0,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,123.81,3,1,2,有,有,9060000,73177,,0.0,0,預售屋、或土地及建物分次登記案件;,RPVOMLTLJHGGFEF78DA,74.92,4.83,5.36,有,
淡水區,車位,民族路31~60號,2.41,都市：其他:乙種工業區,,,1091228,土地1建物1車位1,,,其他,,,,56.08,0,0,0,有,有,800000,,坡道平面,56.08,800000,僅車位交易;,RPTOMLNJKHGGFEF87DA,0.0,0.0,0.0,無,091
淡水區,車位,民族路31~60號,1.61,都市：其他:乙種工業區,,,1091228,土地1建物1車位1,,,其他,,,,37.57,0,0,0,有,有,600000,,坡道平面,37.57,600000,僅車位交易;,RPUOMLNJKHGGFEF97DA,0.0,0.0,0.0,無,092
淡水區,車位,民族路31~60號,1.61,都市：其他:乙種工業區,,,1091228,土地1建物1車位1,,,其他,,,,37.57,0,0,0,有,有,600000,,坡道平面,37.57,600000,僅車位交易;,RPVOMLNJKHGGFEF08DA,0.0,0.0,0.0,無,092
淡水區,車位,民族路31~60號,1.61,都市：其他:乙種工業區,,,1091228,土地1建物1車位1,,,其他,,,,37.57,0,0,0,有,有,600000,,坡道平面,37.57,600000,僅車位交易;,RPOPMLNJKHGGFEF47DA,0.0,0.0,0.0,無,092
汐止區,房地(土地+建物),樟樹一路226巷3弄1~30號,26.99,都市：其他:第二種住宅區,,,1091228,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700318,89.89,4,3,2,有,無,5500000,61186,,0.0,0,頂樓加蓋;,RPROMLRKKHGGFDF08DA,77.51,0.0,12.38,無,
汐止區,房地(土地+建物)+車位,國興街30巷1~30號,40.99,,鄉村區,乙種建築用地,1091213,土地3建物1車位1,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861210,198.93,3,2,2,有,有,18180000,91389,坡道平面,0.0,0,陽台外推;其他增建;,RPPNMLSJKHGGFDF77DA,118.33,0.0,13.06,有,
汐止區,房地(土地+建物),福德一路61~90號,5.31,都市：其他:第二種住宅區,,,1100107,土地2建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860305,35.58,1,1,1,有,有,3600000,101180,,0.0,0,其他:陽台加裝窗其他增建;,RPWOMLPJKHGGFDF28DA,22.91,0.0,3.72,有,
汐止區,房地(土地+建物)+車位,中興路151~180號,19.13,都市：其他:第二種住宅區,,,1100105,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050420,151.09,3,2,2,有,有,16500000,115444,坡道平面,27.22,2200000,,RPSOMLSJKHGGFDF18DA,67.72,6.61,9.26,有,095
