鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
士林區,房地(土地+建物),承德路四段6巷31~60號,38.12,都市：其他:第三種住宅區。,,,1100111,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630417,91.93,2,2,1,有,無,13000000,141412,,0.0,0,其他增建;,RPTQMLPJKHGGFEA77DA,78.77,0.0,13.16,無,
北投區,房地(土地+建物)+車位,明德路38巷1~30號,43.93,都市：其他:第三種住宅區。,,,1100103,土地1建物1車位4,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040203,282.5,4,2,2,有,有,46500000,164602,升降機械,0.0,0,,RPQNMLQJKHGGFEA27DA,106.95,6.37,14.59,有,006
士林區,房地(土地+建物)+車位,文林路481~510號,30.12,都市：其他:第一種商業區。,,,1091212,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030423,226.69,3,2,2,有,有,45680000,201509,升降平面,43.47,0,,RPQOMLQJKHGGFEA37DA,103.5,10.82,13.88,有,007
大安區,房地(土地+建物),基隆路二段271~300號,8.72,都市：其他:第三種住宅區。,,,1091212,土地2建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840824,41.68,2,1,1,有,無,10000000,239923,,0.0,0,夾層;其他增建;,RPSOMLSJJHGGFFA77DA,24.3,2.68,2.42,有,
大安區,房地(土地+建物),瑞安街208巷61弄1~30號,63.08,都市：其他:第三種住宅區。,,,1091225,土地1建物3車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761231,343.87,6,2,3,有,有,95880000,278826,,0.0,0,陽台外推;其他增建;,RPOOMLKLJHGGFFA76DA,222.61,3.44,21.3,有,
大安區,房地(土地+建物)+車位,和平東路三段451~480號,15.27,都市：其他:第三種住宅區。,,,1091108,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,125.88,2,2,1,有,無,25000000,254247,坡道平面,36.99,2400000,,RPXQMLMJKHGGFFA97DA,49.22,0.0,7.03,有,
大安區,房地(土地+建物),和平東路三段421~450號,11.93,都市：其他:第三種住宅區。,,,1060517,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,70.09,2,1,1,有,無,16500000,235412,,0.0,0,,RPORMLMJKHGGFFA17DA,40.76,0.0,3.58,有,
大安區,房地(土地+建物)+車位,和平東路三段451~480號,11.66,都市：其他:第三種住宅區。,,,1060213,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,104.66,2,1,1,有,無,17580000,226541,坡道平面,36.99,2250000,,RPXRMLMJKHGGFFA08DA,39.29,0.0,3.52,有,
大安區,房地(土地+建物)+車位,仁愛路四段408巷1~30號,30.41,都市：其他:第四種住宅區。,,,1100123,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011113,231.37,3,2,2,有,有,82000000,354411,坡道平面,0.0,4500000,,RPRNMLNJKHGGFFA17DA,113.14,4.92,11.3,有,008
大安區,房地(土地+建物)+車位,和平東路三段451~480號,16.51,都市：其他:第三種住宅區。,,,1060920,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,137.86,2,2,1,有,無,23900000,229578,坡道平面,44.21,2400000,,RPPNMLPJKHGGFFA17DA,54.38,0.0,6.31,有,
大安區,房地(土地+建物)+車位,和平東路三段421~450號,16.11,都市：其他:第三種住宅區。,,,1060118,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,135.64,2,2,1,有,無,24880000,243137,坡道平面,44.21,2650000,,RPQNMLPJKHGGFFA27DA,51.59,0.0,7.67,有,
大安區,房地(土地+建物)+車位,和平東路三段421~450號,16.08,都市：其他:第三種住宅區。,,,1060312,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,136.6,2,2,1,有,無,25000000,241806,坡道平面,42.93,2350000,,RPRNMLPJKHGGFFA37DA,51.6,0.0,7.66,有,
大安區,房地(土地+建物),雲和街31~60號,10.6,都市：其他:第三種住宅區。,,,1100120,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,37.98,2,2,1,有,無,6300000,165877,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSOMLPJKHGGFFA57DA,32.62,0.0,5.36,有,
文山區,房地(土地+建物),羅斯福路五段218巷38弄1~30號,10.28,都市：其他:道路用地(公共設施用地)。62/10/24,,,1091231,土地3建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860815,43.47,0,1,1,有,有,9030000,207729,,0.0,0,,RPXNMLTJKHGGFAA97EA,26.7,0.7,2.14,有,
文山區,房地(土地+建物),萬安街12巷1~30號,25.92,都市：其他:第貳類住宅用地(萬芳社區特定專用區)。,,,1100102,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0720728,49.550000000000004,1,1,1,有,有,7580000,152977,,0.0,0,其他增建;,RPQOMLTJKHGGFAA37EA,31.55,0.0,4.54,有,
大安區,房地(土地+建物)+車位,和平東路三段421~450號,16.41,都市：其他:第三種住宅區。,,,1091202,土地1建物1車位3,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,220.53,2,2,1,有,無,28460000,239924,坡道平面,125.25,5600000,停車位進出不便，賣方折讓出售。,RPROMLOJKHGGFFA37DA,51.86,0.0,7.67,有,
文山區,房地(土地+建物),萬慶街31~60號,31.25,都市：其他:第一種商業區。,,,1100107,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,92.07,3,2,2,有,無,9990000,108504,,0.0,0,,RPTNMLTJKHGGFAA57EA,92.07,0.0,0.0,無,
中正區,房地(土地+建物)+車位,臨沂街31~60號,59.19,都市：其他:第三種住宅區。,,,1091107,土地1建物1車位3,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980522,384.47,3,2,3,有,有,126000000,383174,坡道平面,83.04,10500000,陽台外推;其他增建;,RPTQMLRJKIPFFBA68EA,154.08,39.61,11.79,有,
大同區,房地(土地+建物)+車位,安西街91~120號,17.77,都市：其他:特定專用區(供一般商業使用)。,,,1100121,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061023,122.93,3,1,2,有,無,23000000,202445,其他,18.21,1800000,含裝潢費;,RPPOMLSJKHGGFBA27EA,56.72,5.25,0.0,有,
萬華區,房地(土地+建物),環河南路一段61~90號,3.86,都市：其他:道路用地(公共設施用地)。60/9/20,,,1100120,土地2建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800201,41.39,1,1,1,有,有,6100000,147379,,0.0,0,陽台外推;,RPWNMLTJKHGGFBA97EA,25.31,0.0,5.33,有,009
中山區,房地(土地+建物),松江路1~30號,2.45,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區) 但是否在第三之二種住宅區(應依建築線或俟地籍測量分割後，再確定)。,,,1100123,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0661102,28.73,1,1,1,有,有,5980000,208145,,0.0,0,,RPWNMLLLJHGGFCA37EA,19.78,0.0,3.15,有,010
中山區,房地(土地+建物),民權東路一段61~90號,12.64,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100103,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0670119,118.44,2,3,2,有,有,20750000,175194,,0.0,0,,RPXNMLLLJHGGFCA47EA,101.61,0.0,0.0,有,
中山區,房地(土地+建物),新生北路三段11巷1~30號,22.0,都市：其他:第三種住宅區。,,,1091207,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0591008,55.76,2,2,1,有,無,9900000,177547,,0.0,0,,RPOOMLLLJHGGFCA66EA,55.76,0.0,0.0,無,
內湖區,房地(土地+建物)+車位,行善路333巷61~90號,43.66,都市：其他:住宅區。,,,1091108,土地1建物1車位2,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000103,233.64,2,2,2,有,有,42400000,216365,坡道機械,51.54,3000000,,RPPOMLLLJHGGFCA76EA,101.36,7.41,10.42,有,011
中山區,房地(土地+建物)+車位,長安東路二段151~180號,10.72,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100111,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010409,169.99,4,2,2,有,有,42700000,258282,坡道機械,12.41,2000000,,RPQOMLLLJHGGFCA86EA,95.86,0.0,26.63,有,012
內湖區,房地(土地+建物),南京東路六段451巷31~60號,8.21,都市：其他:辦公服務區(一)(不得作住宅使用)。,,,1100112,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971205,45.93,1,1,1,有,有,7580000,165034,,0.0,0,,RPSPMLSLJHGGFCA87EA,27.0,1.11,2.88,有,013
內湖區,房地(土地+建物)+車位,五分街72巷1~30號,26.43,都市：其他:第三種住宅區。,,,1100110,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,155.61,3,2,2,有,有,25000000,191963,坡道平面,38.41,2500000,,RPWOMLPJKHGGFCA77EA,73.6,5.79,6.78,有,
內湖區,房地(土地+建物)+車位,康樂街136巷30弄1~30號,27.67,都市：其他:第三種住宅區。,,,1091013,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090424,183.97,4,2,2,有,有,25000000,153113,坡道平面,35.06,2200000,,RPXOMLSJKHGGFCA18EA,98.86,0.63,9.2,有,
內湖區,房地(土地+建物),瑞光路76巷31~60號,29.35,都市：其他:第二種住宅區。,,,1091218,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0861030,61.88,2,2,1,有,有,13000000,210084,,0.0,0,其他增建;,RPOPMLSJKHGGFCA37EA,43.08,0.0,6.46,無,014
中山區,房地(土地+建物)+車位,林森北路571~600號,9.29,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091226,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,129.55,1,1,1,有,有,22000000,214673,坡道平面,39.18,2600000,,RPPPMLSJKHGGFCA47EA,49.48,1.73,4.57,有,
信義區,房地(土地+建物)+車位,吳興街600巷76弄1~30號,18.96,都市：其他:第三種住宅區。,,,1100102,土地4建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060907,146.99,2,2,1,有,有,26800000,229614,坡道平面,41.16,2500000,,RPXOMLQLJHGGFDA18EA,61.28,0.0,8.5,有,015
松山區,房地(土地+建物),南京東路四段91~120號,8.42,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1091213,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701230,83.49,1,1,1,有,有,20450000,244940,,0.0,0,,RPPPMLQLJHGGFDA47EA,72.72,0.0,0.0,有,
南港區,房地(土地+建物),八德路四段871~900號,4.71,都市：其他:第一種商業區。,,,1091209,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,46.61,1,1,1,有,有,8080000,173316,,0.0,0,,RPQPMLQLJHGGFDA57EA,25.92,1.33,3.88,有,
信義區,房地(土地+建物)+車位,永吉路120巷27弄1~30號,15.59,都市：其他:第三種住宅區。,,,1091218,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070328,81.69,2,1,1,有,有,19800000,284029,升降機械,17.26,1500000,,RPPNMLSJKHGGFDA37EA,30.08,8.02,2.37,有,
信義區,房地(土地+建物),基隆路一段121~150號,3.79,都市：其他:第三種住宅區。,,,1100102,土地2建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950802,32.65,1,1,1,有,有,12100000,370597,,0.0,0,夾層;,RPQOMLSJKHGGFDA57EA,20.68,0.0,1.73,有,
